snapshot_date,state,sport,rank,team,record,rating,strength,movement
2026-09-13,UT,girls-soccer,1,Crimson Cliffs,9-1-0,19.71,9.2,1
2026-09-13,UT,girls-soccer,2,Davis,8-1-0,19.47,9.8,1
2026-09-13,UT,girls-soccer,3,Green Canyon,11-0-0,18.84,1.5,-2
2026-09-13,UT,girls-soccer,4,Park City,9-1-0,17.95,5.8,2
2026-09-13,UT,girls-soccer,5,Lone Peak,8-3-0,17.87,13.5,
2026-09-13,UT,girls-soccer,6,American Fork,8-2-0,16.78,10.7,1
2026-09-13,UT,girls-soccer,7,Olympus,7-2-0,16.27,9.0,-3
2026-09-13,UT,girls-soccer,8,Maple Mountain,7-3-0,14.74,10.2,2
2026-09-13,UT,girls-soccer,9,Brighton,9-2-0,14.55,3.8,
2026-09-13,UT,girls-soccer,10,Bountiful,7-3-0,13.98,8.8,4
2026-09-13,UT,girls-soccer,11,Manti,11-1-0,13.07,-1.6,-3
2026-09-13,UT,girls-soccer,12,Farmington,6-4-0,12.11,10.0,3
2026-09-13,UT,girls-soccer,13,Mountain View,9-2-0,12.05,2.5,9
2026-09-13,UT,girls-soccer,14,Box Elder,10-1-0,11.97,-1.5,-1
2026-09-13,UT,girls-soccer,15,Pleasant Grove,8-3-0,11.70,6.0,-4
2026-09-13,UT,girls-soccer,16,Wasatch,8-3-0,11.67,5.0,2
2026-09-13,UT,girls-soccer,17,Corner Canyon,6-4-0,11.67,9.8,-1
2026-09-13,UT,girls-soccer,18,Lehi,7-5-0,11.46,9.7,1
2026-09-13,UT,girls-soccer,19,Bingham,7-2-0,11.09,2.8,10
2026-09-13,UT,girls-soccer,20,Syracuse,6-5-0,10.85,11.5,
2026-09-13,UT,girls-soccer,21,Snow Canyon,6-3-0,10.64,6.3,-4
2026-09-13,UT,girls-soccer,22,East,8-2-0,10.39,-0.5,-1
2026-09-13,UT,girls-soccer,23,Ridgeline,7-3-0,10.00,3.5,5
2026-09-13,UT,girls-soccer,24,Timpanogos,6-3-0,9.74,6.9,1
2026-09-13,UT,girls-soccer,25,Bonneville,9-2-0,9.25,-0.6,-13
2026-09-13,UT,girls-soccer,26,Union,7-2-0,9.21,1.0,
2026-09-13,UT,girls-soccer,27,Uintah,7-3-0,9.13,2.7,-4
2026-09-13,UT,girls-soccer,28,Riverton,6-4-0,8.23,6.7,-4
2026-09-13,UT,girls-soccer,29,Richfield,9-2-0,8.10,-3.5,1
2026-09-13,UT,girls-soccer,30,Viewmont,7-4-0,8.10,4.4,1
2026-09-13,UT,girls-soccer,31,Desert Hills,6-4-0,7.90,6.5,1
2026-09-13,UT,girls-soccer,32,Salem Hills,8-3-0,7.66,0.7,1
2026-09-13,UT,girls-soccer,33,Dixie,6-3-0,7.55,2.8,1
2026-09-13,UT,girls-soccer,34,Mountain Ridge,5-5-0,7.54,8.4,8
2026-09-13,UT,girls-soccer,35,Cedar Valley,7-3-0,7.43,1.9,-8
2026-09-13,UT,girls-soccer,36,Timpview,6-4-0,7.42,4.3,
2026-09-13,UT,girls-soccer,37,Layton,5-5-0,7.18,9.3,-2
2026-09-13,UT,girls-soccer,38,Maeser Prep Academy,7-2-0,6.86,-4.0,-1
2026-09-13,UT,girls-soccer,39,Judge Memorial Catholic,5-3-0,6.34,1.9,5
2026-09-13,UT,girls-soccer,40,Spanish Fork,5-5-0,5.92,7.0,-1
2026-09-13,UT,girls-soccer,41,Weber,6-5-0,5.87,4.9,
2026-09-13,UT,girls-soccer,42,West Field,6-5-0,5.30,3.8,5
2026-09-13,UT,girls-soccer,43,Mountain Crest,6-4-0,4.98,1.7,
2026-09-13,UT,girls-soccer,44,Skyline,4-5-0,4.85,9.0,-4
2026-09-13,UT,girls-soccer,45,Stansbury,6-4-1,4.85,1.9,-7
2026-09-13,UT,girls-soccer,46,Herriman,5-5-0,4.72,5.8,3
2026-09-13,UT,girls-soccer,47,Skyridge,2-7-0,4.58,15.6,-1
2026-09-13,UT,girls-soccer,48,Ogden,5-6-0,4.20,7.9,6
2026-09-13,UT,girls-soccer,49,Springville,4-6-0,4.17,8.7,1
2026-09-13,UT,girls-soccer,50,Sky View,6-4-0,4.05,1.2,-2
2026-09-13,UT,girls-soccer,51,Carbon,6-4-0,4.03,1.0,-6
2026-09-13,UT,girls-soccer,52,American Leadership Academy,6-2-0,3.63,-5.0,1
2026-09-13,UT,girls-soccer,53,Woods Cross,4-4-0,3.56,4.9,2
2026-09-13,UT,girls-soccer,54,Cedar,3-5-0,1.16,6.1,5
2026-09-13,UT,girls-soccer,55,Provo,4-7-0,1.14,5.7,-3
2026-09-13,UT,girls-soccer,56,Morgan,3-5-0,1.06,6.9,-5
2026-09-13,UT,girls-soccer,57,Highland,3-5-0,0.97,8.0,6
2026-09-13,UT,girls-soccer,58,Canyon View,6-5-0,0.79,-2.2,-2
2026-09-13,UT,girls-soccer,59,American Heritage,5-3-0,0.47,-4.7,-2
2026-09-13,UT,girls-soccer,60,Orem,4-7-0,0.15,5.3,4
2026-09-13,UT,girls-soccer,61,Jordan,3-5-0,-0.51,5.0,-3
2026-09-13,UT,girls-soccer,62,Grand County,6-3-0,-1.04,-8.2,5
2026-09-13,UT,girls-soccer,63,Copper Hills,4-6-0,-1.19,1.4,-3
2026-09-13,UT,girls-soccer,64,Hillcrest,7-4-0,-1.85,-8.1,5
2026-09-13,UT,girls-soccer,65,Murray,5-5-0,-2.49,-2.9,-4
2026-09-13,UT,girls-soccer,66,Waterford,4-4-0,-2.50,-4.9,2
2026-09-13,UT,girls-soccer,67,Ben Lomond,5-2-0,-2.76,-12.2,-1
2026-09-13,UT,girls-soccer,68,Enterprise,6-3-0,-2.82,-9.4,2
2026-09-13,UT,girls-soccer,69,Alta,2-8-0,-2.96,7.9,-4
2026-09-13,UT,girls-soccer,70,Grantsville,4-6-0,-3.22,-0.2,-8
2026-09-13,UT,girls-soccer,71,Clearfield,3-8-0,-3.60,4.6,
2026-09-13,UT,girls-soccer,72,Juab,4-6-0,-4.73,-1.5,5
2026-09-13,UT,girls-soccer,73,Beaver,5-5-0,-5.09,-6.6,
2026-09-13,UT,girls-soccer,74,Northridge,2-9-0,-5.19,5.7,14
2026-09-13,UT,girls-soccer,75,Logan,3-5-0,-5.25,-1.0,11
2026-09-13,UT,girls-soccer,76,Payson,4-7-0,-5.32,-1.1,-2
