team_id,display_name,state,classification,region,maxpreps_slug,is_our_team
K9QJojir20W_5jJl-wpZVg,Bishop Manogue,UT,,,,0
Tvs6GoVtFkarMBtupUzgYw,Galena,UT,,,,0
BhQCJ-TxcE24nmyQGgwyJQ,Meridian,UT,,,,0
4LMSCP6jxEya7MYQ-odqLQ,Pine View,UT,,,pine-view-panthers,0
Jur801Co7Ua6fnty0xbW3w,South Sevier,UT,,,,0
TrMrL8MWSU2QPw4V-VRfwQ,Spanish Springs,UT,,,,0
u_AxdR5CJ0CUbWPhzXh-pQ,American Heritage,UT,2A,2A Region 17,,0
vamWny48nUyvwGsZjOV7iA,American Leadership Academy,UT,2A,2A Region 15,,0
QfbajoUoqE6KmpaGJKIYxg,American Prep WV,UT,2A,2A Region 16,,0
h0e_0l5RKki2YHjIK42s8Q,Beaver,UT,2A,2A Region 18,,0
epqAqJIXWU6BFUbmpp69ig,Cedar,UT,2A,2A Region 18,cedar-reds,0
w-XMMLAxU0S0iUqhvxjCDQ,Draper APA,UT,2A,2A Region 17,,0
TMtlPq-joECmYu-slufHKQ,Enterprise,UT,2A,2A Region 18,,0
GiB8Xpczq0OcdwUsMRpm0Q,Grand County,UT,2A,2A Region 18,,0
9vXe0yo80Eqv69sZ2zs_ng,Gunnison Valley,UT,2A,2A Region 18,,0
gLZnKJDlyE2I_Bh44UeetA,Maeser Prep Academy,UT,2A,2A Region 16,,0
tG05w1fT8EWcQYN2P3gbfA,Millard,UT,2A,2A Region 18,,0
Uh4QQ75ciE65D9KoAS0bGA,North Summit,UT,2A,2A Region 15,,0
xBgZr-cSTkS0Cwg7HQSmrg,Parowan,UT,2A,2A Region 18,,0
hT4q4iptykiPRlFSmcfcFA,Rowland Hall,UT,2A,2A Region 16,,0
yx311UctvUKv4xx_Cd-dfA,San Juan,UT,2A,2A Region 18,,0
Me75bEeZiEKNebC6Fz3aBw,South Summit,UT,2A,2A Region 15,,0
ojCwmUEcV0qyZBT6zyI_Vg,St. Joseph,UT,2A,2A Region 17,,0
uqmTTZhXv0eLmYmRyVKpvw,UMACW,UT,2A,2A Region 16,,0
o6eI4jTKeUCG7W8MiBI09Q,UMAHF,UT,2A,2A Region 17,,0
iYScz0lKmUqmVT_al-YcrA,Waterford,UT,2A,2A Region 17,waterford-ravens,0
XHyb82zTkEumpkG0wdDiVg,Ben Lomond,UT,3A,3A Region 12,ben-lomond-scots,0
pKaA2FCaWE2UytvY8keBbQ,Canyon View,UT,3A,3A Region 14,,0
gthncdwH2UGfCZTIABdUxQ,Carbon,UT,3A,3A Region 13,carbon-dinos,0
2waxi2_uMUmULPI-C4W2rg,Delta,UT,3A,3A Region 13,,0
Bos_J2uWu0KpBMuw8n3XvA,Emery,UT,3A,3A Region 13,,0
oRzWdW4T806uW6T6lZEj8A,Grantsville,UT,3A,3A Region 12,,0
dUvS7F01UUindP8SuMI6qg,Juab,UT,3A,3A Region 14,,0
WjLZnjAXY0G52j7wK2anow,Logan,UT,3A,3A Region 12,,0
VolHRBzydEWz9sXwLRnHQQ,Manti,UT,3A,3A Region 13,manti-templars,0
eJHY5fS2DE6RSrs2YUK4vw,Morgan,UT,3A,3A Region 12,morgan-trojans,0
VUyQmU-xsEC1C1CBc44gpg,North Sanpete,UT,3A,3A Region 13,,0
uQRraPnHgUWU_D4qRt5R6A,Ogden,UT,3A,3A Region 12,ogden-tigers,0
nC5WzLRyyES8OQ9bomMbDQ,Providence Hall,UT,3A,3A Region 14,,0
EkE7d-kpBkyNzLAyIZ3Ybw,Richfield,UT,3A,3A Region 14,,0
WQTAUXyji06XfVOkLDovwA,Union,UT,3A,3A Region 13,,0
NGgliQsUlUezFT0g_n92Qg,Bear River,UT,4A,4A Region 11,bear-river-bears,0
5005CJLWE0yYhDV6yknTfA,Cottonwood,UT,4A,4A Region 10,,0
Yr4Go1Cbi0yI68nKGZ42Uw,Crimson Cliffs,UT,4A,4A Region 9,crimson-cliffs-mustangs,0
e-jFFn_fNkK1b503lTHGQQ,Deer Creek,UT,4A,4A Region 8,deer-creek-riverhawks,0
POr_JTykwU-SmHKbACjH2g,Deseret Peak,UT,4A,4A Region 11,,0
aXsjChoH6Eaq8uFvvNvkvA,Desert Hills,UT,4A,4A Region 9,desert-hills-thunder,0
SByCRbMV5k2Eu2sWwFKK3A,Dixie,UT,4A,4A Region 9,dixie-flyers,0
2C75q91bQE-BvgyPOTV8_w,East,UT,4A,4A Region 10,east-leopards,0
gLQMMvp1_UCJpU48fSLqSg,Green Canyon,UT,4A,4A Region 11,,0
n7DWjEgWxU-uxmTKUl-ieg,Highland,UT,4A,4A Region 10,,0
wZ-UCnEcOE6HRic5HUnC2A,Hurricane,UT,4A,4A Region 9,hurricane-tigers,0
5U7a5pYpeEyNewmUbeHelg,Jordan,UT,4A,4A Region 10,,0
rUZA3kk53ESdn4Gr2gfpeA,Juan Diego Catholic,UT,4A,4A Region 10,,0
tv2UWXQ6UUydRA7utC1O4Q,Judge Memorial Catholic,UT,4A,4A Region 10,,0
7L0kx5wiBUajGrJLhG15yQ,Mountain Crest,UT,4A,4A Region 11,mountain-crest-mustangs,0
1p0RST-Bh0ad4pNn-2kTnQ,Mountain View,UT,4A,4A Region 8,mountain-view-bruins,0
6ZoPz6Kv90iP3duo40HrZA,Murray,UT,4A,4A Region 10,murray-spartans,0
SoWWbqQ8u0SmsImc-E36PQ,Orem,UT,4A,4A Region 8,orem-tigers,0
ALVZRgM-6UeCwdgAHFA1bw,Park City,UT,4A,4A Region 10,park-city-miners,0
tHi7es56h0WUF4-rafUxCA,Provo,UT,4A,4A Region 8,provo-bulldogs,0
ZdVdGaxSmkmKUW5abKOxYQ,Ridgeline,UT,4A,4A Region 11,,0
Ads5JSH8vUSLmBdh-YVWTg,Sky View,UT,4A,4A Region 11,,0
Pd0LBY79vkOqJVvNCMHVfQ,Snow Canyon,UT,4A,4A Region 9,snow-canyon-warriors,0
NhooN9iDeEqgJK6LBqjY1Q,Stansbury,UT,4A,4A Region 11,,0
8q3vmVwvAkeHeTPVEoL7DA,Summit Academy,UT,4A,4A Region 8,summit-academy-bears,0
6hy10Uri6U2qCRt8vHtDUA,Timpanogos,UT,4A,4A Region 8,timpanogos-timberwolves,0
DAuMdnY5AUO8s7vtaY8eOQ,Tooele,UT,4A,4A Region 11,tooele-buffaloes,0
A-vGTJ5dyEq97LSJmRt2ww,Uintah,UT,4A,4A Region 8,uintah-utes,0
p5TM_kxq9kWfUzREg1kDzg,Wasatch,UT,4A,4A Region 8,wasatch-wasps,0
nJDp5m789UihkixEDnDCOQ,Alta,UT,5A,5A Region 6,alta-hawks,0
A5FbmWmy1kCQbK_104f4xw,Bonneville,UT,5A,5A Region 5,bonneville-lakers,0
gp9RBPuTDkCfuM7BEb_IzQ,Bountiful,UT,5A,5A Region 6,bountiful-redhawks,0
0SBsTFySgU21WIhalXEU5g,Box Elder,UT,5A,5A Region 5,box-elder-bees,0
d7o70ttTskORC2J1WRlTuQ,Brighton,UT,5A,5A Region 6,brighton-bengals,1
szv6Ia2yJ0GYwLahjBqswA,Clearfield,UT,5A,5A Region 5,clearfield-falcons,0
5kaVdvKpJkyz4KyhLAp2JQ,Cyprus,UT,5A,5A Region 4,cyprus-pirates,0
VCdl3-YaU0W-8yHRuLj4bg,Fremont,UT,5A,5A Region 5,fremont-wolves,0
7ItcFlSYIkapzWDQ83q5lA,Granger,UT,5A,5A Region 4,granger-lancers,0
gtdtvRkPcE2cO8-2VCtkig,Hillcrest,UT,5A,5A Region 4,hillcrest-huskies,0
wbAV7pAD4UiLfonNnDT19w,Hunter,UT,5A,5A Region 4,hunter-wolverines,0
tif4SSihfE-eTHeOjNgcqw,Kearns,UT,5A,5A Region 4,kearns-cougars,0
7LyIC7MdBE2-cpDIW2ubAg,Maple Mountain,UT,5A,5A Region 7,maple-mountain-eagles,0
8aU3aN5kiEyMyiHI36acgQ,Northridge,UT,5A,5A Region 5,,0
7HjpjwfzpU6GkdCeGFVh_Q,Olympus,UT,5A,5A Region 6,olympus-titans,0
