date,state,home_team,away_team,home_score,away_score,neutral,is_forfeit,name_source,match_url
2026-09-10,UT,Bonneville,Box Elder,0,1,0,0,display,
2026-09-10,UT,Morgan,Ben Lomond,8,0,0,0,display,
2026-09-10,UT,Highland,Cottonwood,6,0,0,0,display,
2026-09-10,UT,Weber,Farmington,1,3,0,0,display,
2026-09-10,UT,Mountain Ridge,Salt Lake Academy,4,0,0,0,display,
2026-09-10,UT,Ogden,Grantsville,7,1,0,0,display,
2026-09-10,UT,Skyline,Alta,2,4,0,0,display,
2026-09-10,UT,Cedar Valley,Westlake,1,0,0,0,display,
2026-09-10,UT,Northridge,Roy,6,0,0,0,display,
2026-09-10,UT,Cyprus,West,4,3,0,0,display,
2026-09-10,UT,Fremont,Clearfield,1,0,0,0,display,
2026-09-10,UT,Timpanogos,Uintah,1,0,0,0,display,
2026-09-10,UT,Riverton,Copper Hills,1,4,0,0,display,
2026-09-10,UT,West Jordan,Kearns,1,7,0,0,display,
2026-09-10,UT,American Fork,Lone Peak,0,6,0,0,display,
2026-09-10,UT,Layton,Davis,2,3,0,0,display,
2026-09-10,UT,Hillcrest,Hunter,8,0,0,0,display,
2026-09-10,UT,Herriman,Bingham,2,1,0,0,display,
2026-09-10,UT,Corner Canyon,Lehi,0,1,0,0,display,
2026-09-10,UT,Granger,Taylorsville,2,2,0,0,display,
2026-09-10,UT,Syracuse,West Field,1,0,0,0,display,
2026-09-10,UT,Park City,Juan Diego Catholic,6,0,0,0,display,
2026-09-10,UT,UMAHF,Maeser Prep Academy,0,8,0,0,display,
2026-09-10,UT,Rowland Hall,American Heritage,2,6,0,0,display,
2026-09-10,UT,Beaver,Millard,4,2,0,0,display,
2026-09-10,UT,Grand County,San Juan,5,1,0,0,display,
2026-09-10,UT,Manti,North Sanpete,9,1,0,0,display,
2026-09-10,UT,American Leadership Academy,Draper APA,2,0,0,0,display,
2026-09-10,UT,American Prep WV,UMACW,0,5,0,0,display,
2026-09-10,UT,Union,Carbon,0,6,0,0,display,
2026-09-10,UT,Cedar,Desert Hills,1,2,0,0,display,
2026-09-10,UT,Enterprise,Gunnison Valley,8,0,0,0,display,
2026-09-10,UT,North Summit,South Summit,1,5,0,0,display,
2026-09-10,UT,Canyon View,Juab,3,0,0,0,display,
2026-09-10,UT,Summit Academy,Orem,0,9,0,0,display,
2026-09-10,UT,Provo,Wasatch,2,1,0,0,display,
2026-09-10,UT,Maple Mountain,Payson,9,2,0,0,display,
2026-09-10,UT,Timpview,Salem Hills,2,1,0,0,display,
2026-09-10,UT,Deer Creek,Mountain View,2,6,0,0,display,
2026-09-10,UT,Sky View,Mountain Crest,0,3,0,0,display,
2026-09-10,UT,East,Jordan,3,1,0,0,display,
2026-09-10,UT,Bountiful,Woods Cross,3,0,0,0,display,
2026-09-10,UT,Crimson Cliffs,Hurricane,2,0,0,0,display,
2026-09-10,UT,Snow Canyon,Dixie,4,1,0,0,display,
